DID;DID_SIZE;Read;Write;Variable
0418;4;True;False;[{'DID_VAR_NAME': 'Vxx_bat_i_10_ms', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_0418_Vxx_bat_i_10_ms', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwio25_A/DataServices_Vxx_bat_i_10_ms'}]
043A;2;True;True;[{'DID_VAR_NAME': 'Vnx_dgn_serv_cnd_byp', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_043A_Vnx_dgn_serv_cnd_byp', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwio26_A/DataServices_Vnx_dgn_serv_cnd_byp'}]
0445;1;True;False;[{'DID_VAR_NAME': 'Vnx_bsw_ecu_rst_typ_stt', 'BIT_OFFSET': '0'}]
0447;1;True;False;[{'DID_VAR_NAME': 'Vnx_bsw_ecu_rst_nr', 'BIT_OFFSET': '0'}]
11C8;2;True;False;[{'DID_VAR_NAME': 'Vxx_vh_spd_fil', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_11C8_Vxx_vh_spd_fil', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI1_700rwio15_A/DataServices_Vxx_vh_spd_fil'}]
11CD;1;True;False;[{'DID_VAR_NAME': 'Vbx_dcm_dgn_clr_req_cs', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_11CD_Vbx_dcm_dgn_clr_req_cs', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI1_700rwio15_A/DataServices_Vbx_dcm_dgn_clr_req_cs'}]
11F4;1;True;False;[{'DID_VAR_NAME': 'Vbx_atsr_sys_ecu_ini_task100ms', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_11F4_Vbx_atsr_sys_ecu_ini_task100ms', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI1_700rwio16_A/DataServices_Vbx_atsr_sys_ecu_ini_task100ms'}]
3481;2;True;False;[{'DID_VAR_NAME': 'Vnx_pwt_frm_id', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_3481_Vnx_pwt_frm_id', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI3_700rwio37_A/DataServices_Vnx_pwt_frm_id'}]
8002;1;True;False;[{'DID_VAR_NAME': 'Vbx_chg_end', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8002_Vbx_chg_end', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vbx_chg_end'}]
8003;288;True;False;[{'DID_VAR_NAME': 'Vbt_bal_chg_act', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8003_Vbt_bal_chg_act', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vbt_bal_chg_act'}]
8004;2;True;True;[{'DID_VAR_NAME': 'Vxx_ube_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8004_Vxx_ube_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_ube_mem'}]
8005;1;True;False;[{'DID_VAR_NAME': 'Vbx_bsoc_2_vld_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8005_Vbx_bsoc_2_vld_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vbx_bsoc_2_vld_mem'}]
8006;1;True;False;[{'DID_VAR_NAME': 'Vbx_capa_seq_sta_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8006_Vbx_capa_seq_sta_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vbx_capa_seq_sta_mem'}]
8007;2;True;False;[{'DID_VAR_NAME': 'Vxx_temp_2', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8007_Vxx_temp_2', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_temp_2'}]
8008;2;True;False;[{'DID_VAR_NAME': 'Vxx_hvbatsohgenpow_fade', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8008_Vxx_hvbatsohgenpow_fade', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbatsohgenpow_fade'}]
8009;1;True;False;[{'DID_VAR_NAME': 'Vxx_hvbathealth_alpha', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8009_Vxx_hvbathealth_alpha', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbathealth_alpha'}]
800A;2;True;False;[{'DID_VAR_NAME': 'Vxx_hvbatsohavlpow_fade', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_800A_Vxx_hvbatsohavlpow_fade', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbatsohavlpow_fade'}]
800B;4;True;False;[{'DID_VAR_NAME': 'Vxx_abso_timemint_batsysttmp', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_800B_Vxx_abso_timemint_batsysttmp', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_abso_timemint_batsysttmp'}]
800C;2;True;False;[{'DID_VAR_NAME': 'Vxx_hv_bat_rem_trp_efy', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_800C_Vxx_hv_bat_rem_trp_efy', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hv_bat_rem_trp_efy'}]
800D;4;True;False;[{'DID_VAR_NAME': 'Vxx_bmsavlegy', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_800D_Vxx_bmsavlegy', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_bmsavlegy'}]
800E;2;True;False;[{'DID_VAR_NAME': 'Vxx_hvbgenpow_hv_bat', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_800E_Vxx_hvbgenpow_hv_bat', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbgenpow_hv_bat'}]
800F;4;True;False;[{'DID_VAR_NAME': 'Vxx_bat_i_100_ms_avg', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_800F_Vxx_bat_i_100_ms_avg', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_bat_i_100_ms_avg'}]
8010;2;True;False;[{'DID_VAR_NAME': 'Vxx_hvbgenpow', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8010_Vxx_hvbgenpow', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbgenpow'}]
8011;2;True;False;[{'DID_VAR_NAME': 'Vxx_capa_hv_bat', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8011_Vxx_capa_hv_bat', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_capa_hv_bat'}]
8012;1152;True;True;[{'DID_VAR_NAME': 'Vxt_capa_algo_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8012_Vxt_capa_algo_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxt_capa_algo_mem'}]
8013;2;True;False;[{'DID_VAR_NAME': 'Vxx_hvbatsohgenpow_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8013_Vxx_hvbatsohgenpow_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbatsohgenpow_mem'}]
8014;2;True;False;[{'DID_VAR_NAME': 'Vxx_hvbatsohavlpow_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8014_Vxx_hvbatsohavlpow_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbatsohavlpow_mem'}]
8015;2;True;False;[{'DID_VAR_NAME': 'Vxx_chg_pow', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8015_Vxx_chg_pow', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_chg_pow'}]
8016;2;True;False;[{'DID_VAR_NAME': 'Vxx_dchg_pow_long_trm', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8016_Vxx_dchg_pow_long_trm', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_dchg_pow_long_trm'}]
8017;2;True;False;[{'DID_VAR_NAME': 'Vxx_dcr_chg', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8017_Vxx_dcr_chg', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_dcr_chg'}]
8018;2;True;False;[{'DID_VAR_NAME': 'Vxx_dcr_dchg', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8018_Vxx_dcr_dchg', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_dcr_dchg'}]
8019;2;True;False;[{'DID_VAR_NAME': 'Vxx_dcr_dchg_hv_bat', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8019_Vxx_dcr_dchg_hv_bat', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_dcr_dchg_hv_bat'}]
801A;2;True;False;[{'DID_VAR_NAME': 'Vxx_fade_capa_hv_bat', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_801A_Vxx_fade_capa_hv_bat', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_fade_capa_hv_bat'}]
801B;2;True;True;[{'DID_VAR_NAME': 'Vxx_hvbathealth_rsa_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_801B_Vxx_hvbathealth_rsa_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_hvbathealth_rsa_mem'}]
801C;4;True;False;[{'DID_VAR_NAME': 'Vxx_gwh_dchg', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_801C_Vxx_gwh_dchg', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_gwh_dchg'}]
801E;2;True;False;[{'DID_VAR_NAME': 'Vxx_batsysttmp_v_out', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_801E_Vxx_batsysttmp_v_out', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox1_A/DataServices_Vxx_batsysttmp_v_out'}]
8021;2;True;False;[{'DID_VAR_NAME': 'Vxx_hvbathealth_avg_0_did_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8021_Vxx_hvbathealth_avg_0_did_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_hvbathealth_avg_0_did_mem'}]
8023;576;True;True;[{'DID_VAR_NAME': 'Vxt_bal_chg_upd_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8023_Vxt_bal_chg_upd_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxt_bal_chg_upd_mem'}]
8024;2;True;True;[{'DID_VAR_NAME': 'Vxx_hvbathealth_dgrd_actu_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8024_Vxx_hvbathealth_dgrd_actu_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_hvbathealth_dgrd_actu_mem'}]
8025;1;True;True;[{'DID_VAR_NAME': 'Vnx_hvbathealth_avg_ind_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8025_Vnx_hvbathealth_avg_ind_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vnx_hvbathealth_avg_ind_mem'}]
8027;2;True;False;[{'DID_VAR_NAME': 'Vxx_soce_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8027_Vxx_soce_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_soce_mem'}]
8028;576;True;False;[{'DID_VAR_NAME': 'Vxt_capa_bsoc_1_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8028_Vxt_capa_bsoc_1_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxt_capa_bsoc_1_mem'}]
8029;2;True;True;[{'DID_VAR_NAME': 'Vnx_not_full_chg_ctr_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8029_Vnx_not_full_chg_ctr_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vnx_not_full_chg_ctr_mem'}]
802A;576;True;False;[{'DID_VAR_NAME': 'Vxt_capa_bsoc_2_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_802A_Vxt_capa_bsoc_2_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxt_capa_bsoc_2_mem'}]
802B;1;True;True;[{'DID_VAR_NAME': 'Vnx_mssn_ind_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_802B_Vnx_mssn_ind_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vnx_mssn_ind_mem'}]
802C;4;True;True;[{'DID_VAR_NAME': 'Vxx_kwh_hvbgenpow_chg_sust_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_802C_Vxx_kwh_hvbgenpow_chg_sust_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_kwh_hvbgenpow_chg_sust_mem'}]
802D;50;True;True;[{'DID_VAR_NAME': 'Vnt_driv_chg_dplt_mtrx_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_802D_Vnt_driv_chg_dplt_mtrx_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vnt_driv_chg_dplt_mtrx_mem'}]
802E;4;True;True;[{'DID_VAR_NAME': 'Vxx_kwh_hvbgenpow_chg_dplt_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_802E_Vxx_kwh_hvbgenpow_chg_dplt_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_kwh_hvbgenpow_chg_dplt_mem'}]
802F;50;True;True;[{'DID_VAR_NAME': 'Vnt_driv_chg_sust_mtrx_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_802F_Vnt_driv_chg_sust_mtrx_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vnt_driv_chg_sust_mtrx_mem'}]
8030;4;True;True;[{'DID_VAR_NAME': 'Vxx_kwh_hvbgenpow_v2x_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8030_Vxx_kwh_hvbgenpow_v2x_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_kwh_hvbgenpow_v2x_mem'}]
8031;4;True;True;[{'DID_VAR_NAME': 'Vxx_kwh_dchg_v2l_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8031_Vxx_kwh_dchg_v2l_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_kwh_dchg_v2l_mem'}]
8032;128;True;True;[{'DID_VAR_NAME': 'Vxt_mssn_abso_timemint_batsysttmp_bgin_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8032_Vxt_mssn_abso_timemint_batsysttmp_bgin_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxt_mssn_abso_timemint_batsysttmp_bgin_mem'}]
8033;4;True;True;[{'DID_VAR_NAME': 'Vxx_kwh_dchg_v2g_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8033_Vxx_kwh_dchg_v2g_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_kwh_dchg_v2g_mem'}]
8034;128;True;True;[{'DID_VAR_NAME': 'Vxt_mssn_abso_timemint_batsysttmp_end_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8034_Vxt_mssn_abso_timemint_batsysttmp_end_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxt_mssn_abso_timemint_batsysttmp_end_mem'}]
8035;4;True;True;[{'DID_VAR_NAME': 'Vxx_kwh_dchg_chg_sust_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8035_Vxx_kwh_dchg_chg_sust_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_kwh_dchg_chg_sust_mem'}]
8036;64;True;True;[{'DID_VAR_NAME': 'Vxt_mssn_chg_n_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8036_Vxt_mssn_chg_n_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxt_mssn_chg_n_mem'}]
8037;4;True;True;[{'DID_VAR_NAME': 'Vxx_kwh_dchg_chg_dplt_mem', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_8037_Vxx_kwh_dchg_chg_dplt_mem', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI8_700rwiox2_A/DataServices_Vxx_kwh_dchg_chg_dplt_mem'}]
